# NPROCS NNODES ILINES TIME
1 1 200 218.2440
2 1 200 216.5380
3 1 200 146.4970
4 1 200 111.2681
6 1 200 75.2300
8 1 200 57.5056
10 1 200 46.9819
12 1 200 39.9806
