# NPROCS NNODES ILINES TIME
1 1 200 142.5062
2 1 200 71.6544
3 1 200 49.9527
4 1 200 37.0464
6 1 200 25.5552
8 1 200 21.1033
10 1 200 20.2885
12 1 200 26.7794
