# NPROCS NNODES ILINES TIME
1 1 100 8.8100
2 1 141 9.5128
4 2 200 13.0207
8 4 282 27.8624
16 4 400 42.2952
24 4 490 67.7156
32 5 566 102.7968
64 8 800 -1
